４文字集合	可能な４文字単語
うくふよ	服用:洋服
うくぼよ	欲望
うくもよ	木曜
うくやよ	薬用:要約
うくゆわ	誘惑
うくらん	空欄
うぐちら	裏口
うぐゆれ	夕暮れ
うけけつ	受付
うけこっ	欠航:決行:結構［文章の〜］:血行
うけこん	健康:貢献
うけごつ	結合
うけざら	受け皿
うけした	下請
うけしょ	化粧
うけすん	件数
うけちわ	内訳
うけつと	凍結
うけづら	裏付け
うけとり	受取
うけとん	検討:見当
うけどん	県道
うけぼん	冒険
うけぽん	憲法
うけやゆ	夕焼け
うけよん	兼用:用件:要件
うげこん	公言:現行
うげそん	幻想:草原（そうげん）
うげつと	当月
うげつよ	月曜
うげほん	方言
うこごん	混合
うこさん	参考:降参
うこしっ	失効
うこしべ	神戸市
うこしゃ	後者:校舎
うこしゅ	趣向
うこしょ	こしょう（胡椒）:故障:胡椒:胡椒（こしょう）:証拠:高所
うこしん	更新:親交:進行
うこじつ	口実
うこじん	人口:人工
うこせん	先攻:先行:線香
うこそっ	即効:速効:速攻
うこそつ	高卒
うこちゃ	紅茶
うこちゅ	中古（ちゅうこ）
うこちん	工賃
うこっに	日光
うこっは	発効:発行:発行［手形〜］:発酵
うこっふ	復興
うこっれ	売れっ子
うこつて	鋼鉄
うこつね	光熱:高熱
うこつぶ	好物
うこつり	公立:効率
うこつん	痛恨
うこての	手の甲
うこてん	天候:好転:転向:転校
うこでん	香典
うこどん	混同
うこにん	公認:後任
うこのよ	このよう
うこはん	反抗:後半:犯行
うこばん	交番
うこふん	興奮
うこへん	変更:後編
うこぽん	梱包
うこみり	売り込み
うこもん	肛門
うこょり	旅行:考慮
うころん	口論
うごしん	信号
うごそち	御馳走
うごつふ	不都合
うごねん	年号
うさすん	算数
うさちょ	調査
うさっと	殺到
うさつん	通算
うさとん	倒産:父さん
うさどん	サウンド:賛同
うざつよ	雑用
うざらわ	裏技
うししゅ	収支:終始
うししょ	師匠:支障
うしすな	品薄
うしそん	真相:送信
うしぞん	増進:心臓
うしたょ	多少
うしだり	売り出し
うしちゅ	中止:周知
うしちょ	市長:承知:視聴:試聴:調子
うしつと	糖質
うしつぼ	失望
うしつよ	洋室
うしつん	通信
うしでも	申し出
うしとゃ	当社
うしとょ	当初
うしとろ	素人（しろうと）
うしとん	浸透:浸透・滲透
うしどん	振動
うしなよ	要なし・用なし
うしにょ	小児
うしぬり	売り主
うしのゃ	納車
うしひょ	拍子:指標:消費:表紙
うしびよ	美容師
うしふょ	封書:負傷
うしほゅ	手法:補修:補習
うしほょ	保証:保障:処方:補償
うしほん	放心:方針
うしぼめ	梅干し
うしぼん	辛抱
うしまろ	真後ろ
うしみょ	賞味
うしむゅ	無臭
うしむょ	無償
うしめゆ	夕飯（ゆうめし）
うしもょ	猛暑
うしゃよ	容赦:社用
うしゅよ	予習:洋酒
うしゅり	修理
うしゆょ	所有:醤油
うしゆん	親友
うしょよ	洋書:要所:賞与
うしょり	勝利:資料
うしょわ	昭和
うしよん	信用
うしろん	心労
うじすつ	数日
うじすれ	売れ筋
うじつと	当日
うじつよ	実用
うじふゆ	不自由
うじほん	法人
うじゆん	友人
うじよん	用心
うじらん	ラウンジ
うじろん	老人
うすせん	数千
うすたは	多数派
うすちみ	未知数
うすっに	日数（にっすう）
うすてん	点数
うすにん	数人
うすねん	年数:数年
うすはん	半数
うすぶら	ブラウス
うすほん	本数
うすぽん	寸法
うすまん	数万
うすやり	安売り
うずにん	人数（にんずう）
うずみみ	湖（みずうみ）
うずみよ	用済み
うせそん	戦争
うせつぶ	うつぶせ
うせとん	先頭:当選:銭湯
うせのわ	上乗せ
うせふん	風船
うせぽん	先方
うせゆん	優先:有線
うせよん	専用
うぜとん	当然
うぜよん	全容
うそだつ	争奪
うそだん	相談
うそっは	発想:発送
うそてん	転送
うそのみ	脳みそ
うそのよ	そのよう
うそのん	農村
うそはん	搬送
うそぶむ	総務部
うそへん	変装:返送
うそめん	そうめん
うそれん	連想
うそろん	論争
うたたね	うたた寝
うたつつ	通達
うたつと	到達
うたてめ	埋め立て
うたとん	担当
うたのん	堪能（たんのう）:濃淡
うたょり	多量
うだちゆ	夕立
うだつも	脱毛
うだとん	暖冬
うちての	手の内
うちてょ	手帳
うちとゅ	中途:途中
うちによ	日曜:日用
うちはょ	波長
うちふょ	不調
うちみょ	調味
うちみら	裏道
うちむゅ	夢中
うちもゅ	喪中
うちやゅ	昼夜
うちょり	治療:調理
うちょわ	調和
うちんん	運賃
うっとな	納豆
うっとに	日当
うっとね	熱湯
うっとふ	沸騰
うっとり	立冬
うっとれ	列島
うつてど	鉄道
うつとは	頭髪
うつどは	発動
うつねほ	放熱
うつねん	通年
うつはも	毛髪
うつはゆ	誘発
うつひよ	必用:必要
うつほり	法律
うつゆれ	優劣
うてとん	店頭:当店:点灯:読点:転倒
うてどん	同点
うてのん	天皇
うてぼん	展望
うてもん	盲点
うてょり	両手
うてよん	要点:転用
うてんん	運転
うでとん	伝統:電灯
うでにの	二の腕
うとなん	南東:東南
うとにん	当人
うとばん	当番
うとぶん	等分:糖分
うとへん	返答
うとべん	弁当
うとほん	本当
うとまら	トラウマ
うとめん	当面
うとょり	塗料
うとろん	討論
うどねん	同年
うどのよ	どのよう
うどはん	反動
うどめん	面倒
うどやん	うどん屋
うどれん	連動
うにゅゆ	輸入
うによん	容認
うにろん	浪人
うぬぼれ	うぬぼれ
うねぽん	年俸
うのはん	反応
うのばん	万能（ばんのう）
うのひん	納品
うのへん	返納
うのほん	本能
うのもり	売り物
うのりん	農林
うはぼん	繁忙:繁忙・煩忙:防犯
うはゆん	夕飯（ゆうはん）
うぱんん	運搬
うひふょ	不評
うひょり	肥料
うひよん	用品
うびゆん	郵便
うふょり	不良
うほめん	方面
うほもん	訪問
うほゅり	保留
うぼめん	綿棒
うぼらん	乱暴
うぽみん	民放:民法
うむょり	無料
うょりり	料理
えええむ	Ａ．Ｍ．
ええきま	駅前（えきまえ）
ええどま	江戸前
ええみみ	見え見え
えおおご	大声（おおごえ）
えおかき	お絵かき:置き換え
えおかし	お返し
えおかむ	お迎え
えおかり	お帰り
えおきす	据え置き
えおきま	前置き
えおさめ	抑えめ
えおそな	お供え
えおとろ	衰え
えおぼみ	見覚え
えかかき	書き換え:書き換え・書き替え:書き替え
えかがん	考え
えかきひ	引き替え
えかきふ	吹き替え
えかきり	切り替え
えかくみ	組み替え
えかけご	掛け声
えかけつ	付け替え
えかさし	差し替え
えかしし	仕返し
えかしみ	見返し
えかすり	すり替え
えかたて	建て替え:立て替え
えかたま	前方
えかだん	円高
えかつめ	詰め替え
えかでむ	出迎え
えかとり	取り替え
えかのり	乗り換え
えかはり	張り替え
えかひめ	控えめ
えかふり	振り替え:振替［郵便〜］
えがちま	間違え
えがねり	寝返り
えがひり	日帰り
えがまみ	前髪:身構え
えきけつ	血液
えきげん	減益:現役
えきごな	泣き声:鳴き声
えきそん	損益
えきぞま	巻き添え
えきつん	喫煙
えきびる	駅ビル
えきふり	不利益
えきまむ	前向き
えきめん	免疫
えきんん	禁煙:遠近
えくしゃ	会釈
えくたわ	蓄え
えくふん	復縁
えけすつ	据え付け
えけつん	血縁
えこころ	心得
えこそび	底冷え
えこのま	この前
えこひみ	冷え込み
えごたて	手ごたえ
えごたは	歯ごたえ
えごたみ	見ごたえ
えごなは	鼻声
えさずり	さえずり
えさねん	姉さん
えじつん	実演
えじんん	エンジン
えすやん	円安
えせんん	沿線
えたてま	建て前
えちまも	持ち前
えぢるわ	悪知恵（わるぢえ）
えつぴん	鉛筆
えつらん	閲覧
えとひま	人前（ひとまえ）
えとりー	エリート
えのまめ	目の前
えひふん	皮膚炎
えひまる	昼前
えぶんん	塩分
えぷろん	エプロン
えほほみ	ほほ笑み
えままん	真ん前
えまみる	丸見え
えまんん	蔓延（まんえん）
えょりん	遠慮
おおかた	大方
おおがた	大型:大形・大型
おおがら	大柄
おおきさ	大きさ
おおきゆ	大雪（おおゆき）
おおけや	公（おおやけ）
おおごと	大事（おおごと）
おおさじ	大さじ
おおじす	大筋
おおじも	大文字（おおもじ）
おおそよ	おおよそ
おおぞら	大空
おおつぶ	大粒
おおづめ	大詰め
おおねむ	おおむね
おおのの	各・各各（おのおの）:各（おのおの）
おおのも	大物
おおはば	大幅
おおもり	大盛り
おかきつ	顔付き
おかけで	お出掛け
おかけむ	顔向け
おかけら	カラオケ
おかげも	面影
おかさし	おかしさ
おかざり	お飾り
おかしだ	顔出し
おかせみ	顔見せ
おかたら	お宝
おかだち	顔立ち
おかつれ	お疲れ
おかぶれ	顔ぶれ
おがきな	泣き顔
おがくん	音楽
おがこよ	横顔
おがさり	お下がり
おがたち	がた落ち
おがてみ	お手紙
おがみり	折り紙
おきくゃ	お客
おきくゆ	奥行き
おきしど	潮時
おきしは	はし置き
おきしや	塩焼き
おきちつ	落ち着き
おきてん	お天気:適温
おきどろ	驚き
おきなわ	沖縄
おきのも	物置:置物
おきはや	早起き
おきまり	お決まり
おきむも	趣（おもむき）
おぎにり	お握り
おくくそ	憶測:臆測:臆測・憶測
おくさま	奥様
おくさん	奥さん
おくじみ	おみくじ
おくての	奥の手
おくてれ	手遅れ
おくでれ	出遅れ
おくまや	山奥
おくみり	見送り
おくろん	録音
おぐちり	降り口
おけしつ	押し付け
おけしづ	塩漬け
おげんん	音源
おこさま	お子様
おこさん	お子さん
おこしっ	おしっこ
おことば	お言葉
おこぼれ	おこぼれ
おごしま	ごま塩
おごしり	ごり押し
おさしみ	お刺身
おさじん	おじさん:伯父さん:伯父さん・叔父さん:叔父さん
おさっん	おっさん
おさどん	温度差
おさばら	おさらば
おさばん	おばさん:伯母さん:伯母さん・叔母さん:叔母さん
おさひま	お日様
おさまり	おさまり（収・納）:収まり:納まり
おさみめ	見納め
おざつん	雑音
おししな	し直し
おしたひ	お浸し
おしだめ	駄目押し
おしつん	室温:音質
おしてな	手直し
おしでな	出直し
おしとと	おととし
おしとみ	見落とし:見通し
おしなみ	見直し
おしなり	シナリオ
おしねん	念押し
おしみも	塩もみ
おしもよ	催し
おしゃれ	おしゃれ
おじすた	スタジオ
おじなみ	おなじみ
おじれん	オレンジ
おすどり	素通り
おすみや	お休み
おずとれ	訪れ
おせたも	お持たせ
おせりー	セオリー
おせんん	温泉
おそつま	お粗末
おぞんん	温存
おだらん	オランダ
おちちや	父親（ちちおや）
おちもゃ	おもちゃ
おつとめ	お勤め
おつはん	発音
おつまみ	おつまみ
おつまり	お祭り
おつみり	三つ折り
おつむれ	オムレツ
おでやん	おでん屋
おとのも	物音
おとまー	オートマ
おねほり	骨折り
おのりり	乗り降り:降り乗り
おははや	母親
おびやゆ	親指
おまもり	お守り
かかきた	書き方
かかくん	感覚:間隔
かかけべ	壁掛け
かかしり	貸し借り
かかたな	片仮名
かかちふ	付加価値
かかちん	価値観
かかつん	管轄
かかりわ	かかわり
かがきた	肩書き
かがきや	輝き
かがきり	気掛かり
かがけね	掛け金
かがたみ	髪型
かがたわ	片側
かがなわ	中側
かがまん	漫画家
かききた	聞き方
かききゆ	雪かき
かききん	危機感
かきけっ	切っ掛け
かきけひ	駆け引き
かきげら	激辛
かきげん	感激
かきこみ	書き込み
かきざむ	風向き
かきしそ	組織化
かきしだ	書き出し
かきしぶ	株式
かきしり	貸し切り
かきぜた	北風（きたかぜ）
かきぜひ	風邪引き
かきたむ	傾き
かきたゆ	行（ゆ）き方
かきちづ	近付き
かきちぬ	勝ち抜き
かきづみ	三日月
かきとめ	書留
かきとり	書き取り
かきのも	書き物
かきぺん	完璧
かきみみ	耳かき
かきみよ	読み書き
かきみれ	紙切れ
かきんん	換金
かぎさね	重ね着
かくくと	獲得
かくくや	確約
かくげさ	格下げ
かくげん	幻覚
かくこっ	各国:骨格
かくこん	韓国
かくさっ	錯覚
かくさん	三角:拡散
かくしっ	失格
かくしゃ	各社
かくしゅ	各種
かくしょ	各所
かくしん	核心:確信
かくじん	人格:各人
かくずち	口数（くちかず）
かくずみ	紙くず
かくそふ	過不足
かくちら	辛口
かくっは	発覚
かくつや	活躍
かくつり	確率
かくてる	カクテル
かくとん	監督
かくにん	確認
かくひん	品格
かくほん	本格
かくみろ	黒髪
かくょり	火力
かくりん	輪郭
かくろん	貫禄
かぐたろ	カタログ
かぐちみ	勝ち組
かぐつわ	革靴
かけこっ	駆けっこ
かけこみ	駆け込み
かけざん	掛け算
かけすて	掛け捨て
かけせみ	見せ掛け
かけたづ	片付け
かけたて	立て掛け
かけちま	勝ち負け
かけちも	掛け持ち
かけっん	欠陥:血管
かけつふ	不可欠
かけつん	完結:簡潔
かけのみ	髪の毛
かけびよ	呼び掛け
かけみよ	読みかけ
かけやり	やりかけ
かげてん	手加減
かげとひ	人影
かげひん	火加減
かげゆん	湯加滅
かげんん	玄関:還元
かここの	九日（ここのか）
かこしち	勝ち越し
かこたの	この方（かた）
かこたり	肩凝り
かこのん	この間（かん）
かこぼま	かまぼこ
かこられ	これから
かごしま	ごまかし
かごしん	看護士:看護師
かごちろ	近ごろ
かごなろ	中ごろ
かごふん	看護婦
かささま	逆さま
かさしず	静かさ
かさしな	悲しさ
かさしん	資産家
かさたぶ	かさぶた
かさたゆ	豊かさ
かさちみ	坂道
かさつん	観察
かさなや	魚屋（さかなや）
かさなり	重なり
かさふん	不参加
かさまみ	神様
かさんん	換算
かざなに	煮魚（にざかな）
かししだ	貸し出し
かしずな	品数
かしたは	高橋
かしっん	疾患
かしつん	質感
かしでん	電子化
かしなみ	悲しみ
かしなよ	仲よし
かしぬぶ	株主
かしぱん	菓子パン
かしひや	冷やかし
かしふよ	夜更かし
かしほん	資本家
かしゃん	感謝
かしゅん	主観
かしゆわ	湯沸かし
かしんん	感心:関心
かじみめ	短め
かすたみ	片隅
かすてら	カステラ
かすとー	スカート
かすまり	カリスマ
かずつて	手付かず
かずみら	自ら
かせつん	間接:関節
かせでま	出任せ
かせどん	セカンド
かせぷる	カプセル
かせんん	感染:感染［コンピューターの〜］:観戦
かぜつつ	滑舌
かぜなは	鼻風邪
かぜんん	完全
かそのほ	その外
かそのん	その間（かん）
かそみり	かみそり
かたたち	立ち方
かたちち	父方
かたちみ	片道
かたてま	片手間
かたどな	どなたか
かたはは	母方
かたまり	塊（かたまり）:塊（かたまり）［欲の〜］:高まり
かたみよ	読み方
かためん	片面
かたやり	やり方
かたより	偏り
かたんん	かんたん
かだんん	寒暖
かちちみ	近道
かちつて	地下鉄
かちどら	どちらか
かちなま	町中
かちねも	金持ち
かちはん	ハンカチ
かっつふ	復活
かっにん	日刊
かっらん	楽観
かつとん	豚カツ
かつどん	カツどん
かつのま	つかの間
かつぶん	分割
かづてみ	手づかみ
かづめん	缶詰め
かてむん	無添加
かてんん	寒天:観点:転換
かてんー	カーテン
かどりわ	若鶏（わかどり）
かなのよ	世の中
かなびゆ	中指
かなまよ	真夜中
かなまん	真ん中
かなみり	雷（かみなり）
かならん	何らか
かなんん	難関
かにまろ	マカロニ
かぬみる	ぬかるみ
かねんん	年間:観念
かのもり	借り物
かのもわ	若者
かはんん	反感
かばんん	看板
かふぶる	古株
かふまり	深まり
かぶらり	空振り
かぷりれ	レプリカ
かへんん	変換:返還
かべんん	勘弁
かみんん	民間
かめりわ	変わり目
かめれわ	分かれ目:別れ目:別れ目・分かれ目
かょりん	旅館
かりろー	カロリー
かりわん	割り勘
かるろー	ローカル
かれんん	関連
がきくら	落書き:落書き・楽書き
がきくれ	学歴
がきくん	金額
がきこよ	横書き
がきした	下書き
がきすぬ	ガス抜き
がきたて	縦書き
がきたわ	北側
がきねひ	引き金
がきはみ	歯磨き
がきんん	近眼（きんがん）
がくけん	見学
がくしん	進学
がくせつ	学説
がくつろ	六月
がくねん	学年
がくはん	半額
がくまん	満額
がくもん	学問
がくやら	役柄
がくらり	暗がり
がけすつ	ガス欠
がけにん	けが人
がこしら	木枯らし
がことら	事柄
がこなよ	横長
がこりわ	怖がり
がさつん	三月
がさねり	値下がり
がさむり	寒がり
がしすと	都市ガス
がしたわ	下側
がしたん	新型
がしちつ	七月
がしにわ	西側
がしのみ	見逃し
がせんん	洗顔
がそとわ	外側
がそりん	ガソリン
がたてな	縦長
がたなひ	ひな型:ひな形
がたまや	山形
がたまる	丸形
がたよる	夜型
がたんん	元旦
がちつは	八月
がちとら	土地柄
がちなも	長持ち
がつなり	つながり
がつなん	何月
がつより	強がり
がとひら	人柄
がなねん	長年:長年・永年
がなはら	花柄
がなひら	平仮名
がなふり	振り仮名
がなみよ	読み仮名
がねはり	針金
がねんん	元年:念願
がはみり	張り紙
がひりろ	広がり
がひりわ	日替わり
がままわ	わがまま
がむらり	群がり
がめんん	顔面
がわんん	湾岸
ききぎみ	右利き
ききくや	聞き役
ききけわ	聞き分け
ききこみ	聞き込み
ききさゆ	先き行き:行（ゆ）き先
ききしょ	挙式
ききすや	すき焼き
ききずり	切り傷
ききたむ	北向き
ききとり	聞き取り
ききぬひ	引き抜き
ききぬり	切り抜き
ききふん	寄付金
きぎすゆ	行（ゆ）き過ぎ
きぎつひ	引き継ぎ
きぎひわ	引き際
きくげも	目撃
きくこせ	国籍
きくこゃ	顧客（こきゃく）
きくさち	口先
きくさゆ	行（ゆ）く先
きくさり	力作
きくせそ	即席
きくせち	蓄積
きくそふ	不規則
きくぞん	金属
きくちり	切り口
きくても	目的
きくにひ	ひき肉
きくにや	焼き肉
きくにん	筋肉
きくはょ	破局
きくばり	気配り
きくぱん	緊迫
きくまゃ	客間
きくもゆ	雲行き
きくょり	気力
きぐたち	北口
きぐにゆ	雪国（ゆきぐに）
きぐまれ	気まぐれ
きけさず	酒好き
きけせっ	欠席
きけっん	欠勤
きけつゆ	行（ゆ）きつけ
きけどゆ	雪解け
きけぬふ	吹き抜け
きけひわ	引き分け
きけんん	金券
きげこつ	焦げ付き
きげさひ	引き下げ
きげすや	激安
きげつと	激突:突撃
きげつん	原付き
きげはん	反撃
きげふん	不機嫌
きげへん	激変:激変・劇変
きげむん	無期限
きげんん	厳禁:現金
きこざみ	小刻み
きこしな	着こなし
きこしめ	メキシコ
きこたみ	炊き込み
きこたや	たこ焼き
きこひみ	引き込み
きこまみ	巻き込み
きこむよ	横向き
きこょん	根拠
きこりれ	これきり
きごつと	月ごと
きごとな	泣き言
きささや	ささやき
きさしひ	差し引き
きさせみ	店先
きさせん	山積
きさたび	旅先
きさっま	真っ先
きさっん	殺菌
きさつま	つま先
きさどほ	先ほど
きさどり	先取り
きさにわ	庭先
きさはる	春先
きさびゆ	指先
きさむら	むらさき:紫
きざひん	引き算
きざめわ	ざわめき
きざんん	残金
きししょ	書式
きしじた	下敷き
きしずま	巻きずし
きしせょ	書籍
きしせん	親戚
きしたむ	下向き
きしだひ	引き出し
きしだむ	むき出し
きしつと	年月（としつき）
きしなむ	泣き虫
きしにむ	西向き
きしにん	認識
きしねん	年式
きしのも	敷物
きしはれ	切れ端
きしはん	四半期
きしばら	気晴らし
きしひめ	引き締め
きしむや	蒸し焼き
きしめや	焼き飯
きしめり	締め切り:閉め切り
きしめん	面識
きしゅん	禁酒
きしょん	新居
きしんん	親近
きじつひ	直筆（じきひつ）
きじつん	近日
きじはん	自販機
きじりん	人力（じんりき）
きすずり	擦り傷
きすてと	テキスト
きすてり	切り捨て
きすてー	ステーキ
きすとゃ	キャスト
きすめや	気休め
きずせわ	世話好き
きずつま	つまずき
きずてん	天気図
きずのも	物好き
きずふる	古傷
きせせつ	積雪
きせっん	接近
きせつり	力説
きせにん	責任
きせひよ	引き寄せ
きせびん	線引き
きせぶん	分析
きせまん	満席
きせめん	赤面:面積
きせょん	選挙
きせんん	金銭
きそとの	その時
きそとむ	外向き
きそばや	焼きそば
きたたて	炊きたて
きたたま	瞬き
きたつま	竜巻
きたつゃ	脚立
きたてで	出来たて
きたてひ	引き立て
きたてや	焼きたて
きたとま	時たま
きたねま	種まき
きたはら	働き
きたばま	まばたき
きたぶや	焼き豚
きだふり	切り札
きちっん	キッチン
きちびみ	導き
きちみわ	わき道
きちもや	焼きもち
きちょん	貯金
きってひ	匹敵
きっふん	腹筋
きつつべ	月別
きつづて	手続き
きつとひ	ひとつき
きつどゆ	梅雨時
きつなみ	月並み
きつはゆ	初雪
きつぶや	つぶやき
きつまん	満喫
きつみや	病み付き
きつめり	つめ切り［〜ばさみ］
きててん	天敵:点滴
きてどほ	手ほどき
きてなん	難敵
きてにん	適任
きてやり	照り焼き
きてょん	拠点:転居
きでやん	電気屋
きでわん	電話機
きととひ	一時（ひととき）
きとひり	取り引き:引き取り
きとぶり	着太り
きとめり	取り決め
きとやり	焼き鳥
きとりり	切り取り
きとれん	筋トレ
きどなん	何時（なんどき）
きどひる	昼時
きどみり	黄緑
きどやら	どら焼き
きなぷん	ナプキン
きなゆり	成り行き
きにふん	不人気
きねびん	記念日
きねょん	去年
きねんん	年金:近年
きのはも	履き物
きのまり	のり巻き
きのもや	焼き物
きのやり	焼きのり
きばまら	ばらまき
きばらわ	わき腹
きひみら	見開き
きひめら	ひらめき
きびりわ	割引
きぴんん	金品
きふみり	踏切
きへんん	返金
きぺんん	近辺
きまやる	丸焼き
きみめわ	見極め
きみより	読み切り
きめょん	免許
きもりり	切り盛り
きりんん	近隣
ぎくつろ	くつろぎ
ぎここむ	小麦粉
ぎこつの	この次
ぎしたみ	右下
ぎしなれ	品切れ
ぎしはみ	右端（みぎはし）
ぎしはり	歯ぎしり
ぎしもん	疑問視
ぎすのみ	飲み過ぎ
ぎすひる	昼過ぎ
ぎすやら	安らぎ
ぎすやり	やり過ぎ
ぎせとわ	瀬戸際
ぎたねま	玉ねぎ
ぎちんん	賃金
ぎつとり	取り次ぎ
ぎつにの	二の次
ぎてふわ	不手際
ぎひむや	冷や麦
ぎふりん	踏ん切り
くくこは	告白
くくこふ	克服
くくさと	得策
くくそや	約束
くくっり	クリック
くくほり	北陸
くくゆゆ	行く行く（ゆくゆく）
くぐせち	口癖
くぐみわ	枠組み
くけさせ	酒癖（さけくせ）
くけさっ	傑作
くけさん	検索
くけそっ	結束
くけちん	建築
くけやよ	厄よけ
くけやん	倹約
くげさり	繰り下げ
くげさん	削減:原作
くげそん	原則:減速
くげちひ	口ひげ
くげつよ	翌月
くげふん	復元:復原・復元
くこさん	国産
くこしょ	酷暑
くこしり	繰り越し
くこしん	申告
くこぜん	全国
くこちみ	口コミ
くこっほ	北国
くこっみ	コミック
くこつも	穀物
くこつり	国立
くこみみ	組み込み
くこみん	国民
くこわん	困惑
くごてん	天国
くごほん	本国
くささど	どさくさ
くさされ	ささくれ
くさしゃ	作者
くさしる	苦しさ
くさしん	新作
くさじつ	昨日（さくじつ）
くさせん	作戦
くさぜん	前作
くさたん	三択
くさつも	作物（さくもつ）
くさつら	落札
くさとん	特産
くさなば	草花
くさねん	昨年
くさばん	昨晩
くさひん	作品
くさぶん	作文
くさむら	草むら
くざたん	短冊
くざつふ	複雑
くざよら	夜桜
くししょ	試食
くしじり	しくじり
くしそっ	失速
くしそん	促進
くしぞん	親族
くしたつ	靴下
くしたわ	私（わたくし）
くしたー	タクシー
くしだち	口出し
くしちゃ	借地:試着
くしちょ	直視
くしちん	新築
くしつよ	浴室
くしとゅ	取得:特殊
くしとょ	所得
くしとよ	翌年（よくとし）
くしどや	厄年
くしどん	独身
くしにみ	憎しみ
くしにん	肉親
くしはゅ	拍手
くしひょ	食費
くしふゃ	複写
くしふゅ	叔父
くしぼろ	黒星
くしぼん	親睦
くしみゃ	くしゃみ
くしみる	苦しみ
くしむょ	無職:無色:職務
くしゃや	役者
くしやゅ	主役
くしやょ	夜食:役所
くしやん	躍進
くしょり	視力:離職
くしょわ	和食
くしろろ	白黒（しろくろ）
くじすん	ジンクス
くじそつ	即日
くじそん	迅速
くじつよ	翌日
くじとん	人徳
くすそっ	ソックス
くすっと	ストック
くすっな	スナック
くすっま	ｍａｘ．［マックス］
くすっみ	ミックス
くすっる	ルックス
くすなめ	少なめ
くすのも	くもの巣
くすやり	薬屋
くするー	スクール
くずつれ	靴擦れ
くせぞつ	接続
くせぞん	専属
くせたん	洗濯:選択
くせっと	説得
くせつと	特設
くせつや	節約
くせとれ	セレクト
くせどん	独占
くせはら	セクハラ
くせやん	先約
くせらん	落選
くぜもん	目前
くそぞん	存続
くそたつ	速達
くそたへ	下手くそ
くそとん	損得
くそねぶ	寝不足
くそはん	反則
くそめん	側面
くぞへん	続編
くぞまん	満足:満足［〜にできない］
くぞみん	民族
くぞれん	連続
くたちべ	口下手
くたちぼ	僕たち
くたてみ	くみたて:組み立て
くたでん	電卓:電卓［電子式卓上計算機］
くたどん	単独
くたにぶ	豚肉
くたぱん	淡泊
くたびれ	くたびれ
くたみら	たくらみ
くたらん	落胆
くだつら	脱落
くだのも	果物
くだらん	段落
くちちゃ	着地
くちちょ	貯蓄
くちっら	クラッチ
くちとひ	一口（ひとくち）
くちとも	口もと
くちどめ	口止め
くちのみ	飲み口
くちはや	早口
くちびる	唇
くちふゃ	付着
くちもん	沈黙
くちやり	やり口
くちるわ	悪口（わるくち）
くちわん	ワクチン
くっつは	発掘
くっとな	納得
くっとら	トラック
くっとん	特訓
くっまら	真っ暗
くっまろ	真っ黒
くつどひ	必読
くつどり	独立
くつなふ	夏服
くつねは	白熱
くつはは	白髪（はくはつ）
くつはば	爆発
くつひも	靴ひも
くつぶや	薬物
くつぶよ	物欲
くつへり	へ理屈
くつぼめ	撲滅
くづてり	手作り
くづにり	荷造り
くてとん	得点:特典
くてぶろ	手袋
くてらん	楽天:転落
くとにり	鳥肉
くとばん	特番
くとみり	取り組み
くとらん	トランク
くどなん	難読
くどりん	ドリンク
くにばら	ばら肉
くにひゃ	二百（にひゃく）
くにまん	肉まん
くにもん	黙認
くねよん	翌年（よくねん）
くはぷん	反復
くばより	欲張り
くひもん	品目
くひやん	薬品
くふふゆ	冬服
くふみら	膨らみ
くぶらん	ブランク
くぷまん	満腹
くほやん	翻訳
くみやら	暗やみ
くみょり	魅力
くみらる	ミラクル
くむょり	無力
くむりー	クリーム
くむれー	クレーム
くめりー	リメーク
くやりり	やり繰り
くやりわ	役割
くょより	余力
くられん	連絡
くれんん	訓練
くれんー	クレーン
ぐけちは	はけ口
ぐけまみ	負け組
ぐさすま	すぐさま
ぐさてり	手探り
ぐさなめ	慰め
ぐしにま	島国
ぐしるん	シングル
ぐすめり	目薬
ぐたちめ	ため口
ぐたらん	グラタン
ぐはまり	はまぐり
ぐはまる	歯車
けけつん	献血
けげんん	権限
けこじつ	こじつけ
けこっん	結婚
けごしむ	消しゴム
けさしず	静けさ
けさっん	決算
けしっん	決心
けしつめ	締め付け
けしとり	取り消し
けしむよ	虫よけ
けしゃん	車検
けしょん	初見:所見
けしんん	検診:真剣
けじんん	人権
けすだて	手助け
けすっと	助っ人
けすとー	スケート
けするー	スケール
けせっん	決戦:石鹸
けせつん	建設
けせんん	先見
けそっつ	即決
けそっん	欠損
けそんん	謙遜
けたんん	探検・探険
けだつん	団結:決断
けちっと	チケット
けちぬみ	抜け道
けっつね	熱血
けってん	欠点
けっとら	ラケット
けっはん	発券:発見
けっひん	必見
けつつぬ	筒抜け
けつつま	結末
けつつれ	決裂
けつとり	取り付け
けつのも	漬け物
けつはん	判決
けつひん	貧血
けつぶん	見物（けんぶつ）
けつもり	盛り付け
けつりん	県立
けつろん	結論
けてんん	点検
けにんん	兼任
けねばり	粘り気
けのばも	化け物
けふりわ	振り分け
けへんん	偏見
けほんん	本件
けみんん	県民
けょりん	旅券
げこつん	今月
げこんん	根源（こんげん）
げさたま	妨げ
げさとり	取り下げ
げさほり	掘り下げ
げしつん	失言
げしはま	励まし
げしんん	震源
げすてな	投げ捨て
げすんん	原寸
げせつん	先月
げせんん	宣言
げそひり	ひげそり
げちにみ	逃げ道
げつつま	月末（げつまつ）
